,Date,Month,Name,Depart Times,Departure,Arrival Times,Arrival,Duration,No. of Stops,price
0,01,1,SpiceJet,06:15,New Delhi,21:10,Bangalore,14h 55m,1 Stop,"3,993"
1,01,1,Air India,06:10,New Delhi,08:55,Bangalore,2h 45m,Non Stop,"4,007"
2,01,1,Vistara,10:00,New Delhi,08:50,Bangalore,22h 50m,1 Stop,"4,034"
3,01,1,Vistara,07:30,New Delhi,08:50,Bangalore,25h 20m,1 Stop,"4,034"
4,01,1,Air Asia,08:00,New Delhi,10:40,Bangalore,2h 40m,Non Stop,"4,199"
5,01,1,SpiceJet,05:35,New Delhi,08:05,Bangalore,2h 30m,Non Stop,"4,200"
6,01,1,Go First,06:05,New Delhi,08:40,Bangalore,2h 35m,Non Stop,"4,200"
7,01,1,IndiGo,06:10,New Delhi,08:50,Bangalore,2h 40m,Non Stop,"4,200"
8,01,1,IndiGo,02:30,New Delhi,05:25,Bangalore,2h 55m,Non Stop,"4,200"
9,01,1,IndiGo,04:15,New Delhi,07:10,Bangalore,2h 55m,Non Stop,"4,200"
10,01,1,IndiGo,07:20,New Delhi,10:15,Bangalore,2h 55m,Non Stop,"4,200"
11,01,1,IndiGo,08:20,New Delhi,11:15,Bangalore,2h 55m,Non Stop,"4,200"
12,01,1,Vistara,20:35,New Delhi,08:50,Bangalore,12h 15m,1 Stop,"4,349"
13,01,1,Air India,13:30,New Delhi,16:15,Bangalore,2h 45m,Non Stop,"4,427"
14,01,1,SpiceJet,22:30,New Delhi,01:15,Bangalore,2h 45m,Non Stop,"4,514"
15,01,1,IndiGo,12:05,New Delhi,14:55,Bangalore,2h 50m,Non Stop,"4,538"
16,01,1,Air Asia,21:25,New Delhi,00:15,Bangalore,2h 50m,Non Stop,"4,538"
17,01,1,IndiGo,09:15,New Delhi,12:10,Bangalore,2h 55m,Non Stop,"4,538"
18,01,1,IndiGo,18:20,New Delhi,21:15,Bangalore,2h 55m,Non Stop,"4,538"
19,01,1,IndiGo,21:25,New Delhi,00:20,Bangalore,2h 55m,Non Stop,"4,538"
20,01,1,IndiGo,22:50,New Delhi,01:45,Bangalore,2h 55m,Non Stop,"4,538"
21,01,1,IndiGo,15:30,New Delhi,18:30,Bangalore,3h 00m,Non Stop,"4,538"
22,01,1,IndiGo,19:50,New Delhi,22:50,Bangalore,3h 00m,Non Stop,"4,538"
23,01,1,Go First,18:40,New Delhi,21:25,Bangalore,2h 45m,Non Stop,"4,621"
24,01,1,Air Asia,09:35,New Delhi,12:25,Bangalore,2h 50m,Non Stop,"4,726"
25,01,1,Vistara,05:45,New Delhi,10:45,Bangalore,5h 00m,1 Stop,"4,737"
26,01,1,Air India,08:10,New Delhi,22:15,Bangalore,14h 05m,1 Stop,"4,748"
27,01,1,Go First,08:00,New Delhi,16:10,Bangalore,8h 10m,1 Stop,"4,803"
28,01,1,SpiceJet,20:10,New Delhi,22:55,Bangalore,2h 45m,Non Stop,"4,830"
29,01,1,Air India,21:15,New Delhi,23:55,Bangalore,2h 40m,Non Stop,"4,847"
30,01,1,Air India,09:45,New Delhi,12:30,Bangalore,2h 45m,Non Stop,"4,847"
31,01,1,Air India,17:20,New Delhi,20:05,Bangalore,2h 45m,Non Stop,"4,847"
32,01,1,IndiGo,06:45,New Delhi,13:20,Bangalore,6h 35m,1 Stop,"4,883"
33,01,1,Vistara,17:40,New Delhi,08:50,Bangalore,15h 10m,1 Stop,"4,910"
34,01,1,Vistara,14:45,New Delhi,08:50,Bangalore,18h 05m,1 Stop,"4,910"
35,01,1,IndiGo,17:45,New Delhi,01:05,Bangalore,7h 20m,1 Stop,"4,931"
36,01,1,Vistara,20:40,New Delhi,23:20,Bangalore,2h 40m,Non Stop,"4,934"
37,01,1,Vistara,05:55,New Delhi,08:40,Bangalore,2h 45m,Non Stop,"4,934"
38,01,1,Vistara,09:05,New Delhi,11:50,Bangalore,2h 45m,Non Stop,"4,934"
39,01,1,Vistara,17:35,New Delhi,20:25,Bangalore,2h 50m,Non Stop,"5,014"
40,01,1,Vistara,19:50,New Delhi,22:40,Bangalore,2h 50m,Non Stop,"5,014"
41,01,1,IndiGo,17:45,New Delhi,22:50,Bangalore,5h 05m,1 Stop,"5,043"
42,01,1,IndiGo,13:00,New Delhi,19:35,Bangalore,6h 35m,1 Stop,"5,043"
43,01,1,IndiGo,11:00,New Delhi,19:35,Bangalore,8h 35m,1 Stop,"5,043"
44,01,1,Air India,06:05,New Delhi,14:25,Bangalore,8h 20m,1 Stop,"5,115"
45,01,1,Go First,14:20,New Delhi,22:45,Bangalore,8h 25m,1 Stop,"5,137"
46,01,1,Vistara,08:05,New Delhi,10:50,Bangalore,2h 45m,Non Stop,"5,145"
47,01,1,Vistara,16:05,New Delhi,18:50,Bangalore,2h 45m,Non Stop,"5,145"
48,01,1,Air India,17:15,New Delhi,22:15,Bangalore,5h 00m,1 Stop,"5,168"
49,01,1,Air India,09:45,New Delhi,22:15,Bangalore,12h 30m,1 Stop,"5,168"
50,01,1,Air India,21:25,New Delhi,14:45,Bangalore,17h 20m,2 Stop(s),"5,168"
51,01,1,Air India,17:15,New Delhi,14:45,Bangalore,21h 30m,2 Stop(s),"5,168"
52,01,1,IndiGo,13:00,New Delhi,18:10,Bangalore,5h 10m,1 Stop,"5,178"
53,01,1,IndiGo,11:00,New Delhi,18:10,Bangalore,7h 10m,1 Stop,"5,178"
54,01,1,IndiGo,13:00,New Delhi,20:45,Bangalore,7h 45m,1 Stop,"5,178"
55,01,1,IndiGo,09:40,New Delhi,18:10,Bangalore,8h 30m,1 Stop,"5,178"
56,01,1,IndiGo,11:00,New Delhi,20:45,Bangalore,9h 45m,1 Stop,"5,178"
57,01,1,IndiGo,05:30,New Delhi,11:25,Bangalore,5h 55m,1 Stop,"5,197"
58,01,1,IndiGo,19:30,New Delhi,01:05,Bangalore,5h 35m,1 Stop,"5,351"
59,01,1,IndiGo,23:05,New Delhi,06:55,Bangalore,7h 50m,1 Stop,"5,351"
60,01,1,IndiGo,23:05,New Delhi,08:15,Bangalore,9h 10m,1 Stop,"5,351"
61,01,1,IndiGo,21:15,New Delhi,06:55,Bangalore,9h 40m,1 Stop,"5,351"
62,01,1,IndiGo,07:55,New Delhi,13:20,Bangalore,5h 25m,1 Stop,"5,513"
63,01,1,Go First,09:00,New Delhi,17:10,Bangalore,8h 10m,1 Stop,"5,566"
64,01,1,Go First,06:00,New Delhi,11:25,Bangalore,5h 25m,1 Stop,"5,606"
65,01,1,Go First,15:30,New Delhi,23:40,Bangalore,8h 10m,1 Stop,"5,606"
66,01,1,Go First,05:35,New Delhi,10:20,Bangalore,4h 45m,1 Stop,"5,771"
67,01,1,Vistara,12:50,New Delhi,20:55,Bangalore,8h 05m,1 Stop,"5,913"
68,01,1,Vistara,11:40,New Delhi,20:55,Bangalore,9h 15m,1 Stop,"5,913"
69,01,1,Vistara,12:50,New Delhi,22:50,Bangalore,10h 00m,1 Stop,"5,913"
70,01,1,Vistara,10:20,New Delhi,20:55,Bangalore,10h 35m,1 Stop,"5,913"
71,01,1,Vistara,11:40,New Delhi,22:50,Bangalore,11h 10m,1 Stop,"5,913"
72,01,1,Vistara,09:30,New Delhi,20:55,Bangalore,11h 25m,1 Stop,"5,913"
