,Date,Month,Name,Depart Times,Departure,Arrival Times,Arrival,Duration,No. of Stops,price
0,01,1,IndiGo,02:30,Goa,03:45,Bangalore,1h 15m,Non Stop,"4,161"
1,01,1,IndiGo,03:35,Goa,07:55,Bangalore,4h 20m,1 Stop,"4,424"
2,01,1,IndiGo,03:35,Goa,10:15,Bangalore,6h 40m,1 Stop,"4,424"
3,01,1,IndiGo,06:25,Goa,07:40,Bangalore,1h 15m,Non Stop,"5,736"
4,01,1,Vistara,00:20,Goa,07:50,Bangalore,7h 30m,1 Stop,"6,556"
5,01,1,Vistara,00:20,Goa,08:50,Bangalore,8h 30m,1 Stop,"6,556"
6,01,1,Vistara,00:20,Goa,10:45,Bangalore,10h 25m,1 Stop,"6,924"
7,01,1,Vistara,00:20,Goa,20:55,Bangalore,20h 35m,1 Stop,"7,554"
8,01,1,Vistara,00:20,Goa,22:50,Bangalore,22h 30m,1 Stop,"7,554"
9,01,1,Vistara,00:20,Goa,08:50,Bangalore,32h 30m,2 Stop(s),"7,741"
10,01,1,Vistara,00:20,Goa,08:50,Bangalore,32h 30m,2 Stop(s),"7,741"
11,01,1,Vistara,00:20,Goa,08:50,Bangalore,32h 30m,2 Stop(s),"7,741"
12,01,1,Air Asia,20:05,Goa,23:15,Bangalore,3h 10m,1 Stop,"7,941"
13,01,1,Go First,06:40,Goa,16:10,Bangalore,9h 30m,1 Stop,"7,954"
14,01,1,Air India,21:00,Goa,22:30,Bangalore,1h 30m,Non Stop,"7,995"
15,01,1,Air Asia,20:05,Goa,01:55,Bangalore,5h 50m,1 Stop,"8,125"
16,01,1,Go First,22:00,Goa,06:15,Bangalore,8h 15m,1 Stop,"8,439"
17,01,1,Air Asia,22:30,Goa,23:50,Bangalore,1h 20m,Non Stop,"8,464"
18,01,1,IndiGo,14:35,Goa,16:00,Bangalore,1h 25m,Non Stop,"8,466"
19,01,1,Air Asia,17:55,Goa,20:55,Bangalore,3h 00m,1 Stop,"8,650"
20,01,1,Go First,14:00,Goa,15:10,Bangalore,1h 10m,Non Stop,"8,926"
21,01,1,Air Asia,17:55,Goa,23:15,Bangalore,5h 20m,1 Stop,"8,962"
22,01,1,Air Asia,17:55,Goa,01:55,Bangalore,8h 00m,1 Stop,"8,962"
23,01,1,IndiGo,15:25,Goa,16:55,Bangalore,1h 30m,Non Stop,"9,201"
24,01,1,Vistara,14:40,Goa,16:00,Bangalore,1h 20m,Non Stop,"9,255"
25,01,1,Air India,07:30,Goa,11:10,Bangalore,3h 40m,1 Stop,"9,280"
26,01,1,Vistara,00:20,Goa,17:45,Bangalore,17h 25m,1 Stop,"9,990"
27,01,1,Vistara,00:20,Goa,19:15,Bangalore,18h 55m,1 Stop,"9,990"
28,01,1,IndiGo,18:55,Goa,20:05,Bangalore,1h 10m,Non Stop,"10,146"
29,01,1,Air India,01:15,Goa,08:55,Bangalore,7h 40m,1 Stop,"10,335"
