comments,rating
"Spectacular Specification, Build Quality, and Performance",5
Speaker is ok ok,5
HAPPY And SUPER HAPPY to buy this TV,5
Glorious 4K with Oodles of Performance for the price point.,5
Cheap and best..... Worth buying,5
Brilliant bargain...best smart TV in the market,5
Excellent option for the price. Ticks all the right boxes.,5
Worth for the money.,5
Great TV at very good price,5
Best 4K UHD TV in the price segment,5
Absolutely worth it,5
The alexa provides next level of comfortness,5
Worth every penny. One of the best 4k TV in the market out there for the price range.,5
An excellent product from Amazon,5
Budget TVv with best features,5
Love in a Box,5
awsome experience,5
Great value for money,5
Overall budget premium TV for a good price.,5
No doubt about value for money,5
Value for money,5
Top quality TV - A Value for money product,5
Great TV with an excellent display,5
Best quality for the price,5
Best Buy!,5
Unique features like no other TV has. Better than Android TVs.,5
Great product. No brainer purchase.,5
Review after two months of usage - No-nonsense TV,5
Awesome 4K TV at a good price!! Go for it.,5
Amazing product,5
Value for money,5
Viola 4k!,5
Excellent Choice for Fire TV OS Lovers,5
Large screen at an awesome price,5
👍👍👍,5
Awesome TV for the price. Among the best entry level 4K 55 Inch TV.,5
"Worth for money, quality product at affordable price",5
With this budget this is the best 4k HDR Tv,5
Amazon Basics 🔥 TV - 55Inch 4K UHD,5
"CRT to 55 inches TV, feeling good with price 39K",5
Best TV @ Best Price,5
Very wrost experience,5
Simply Amazing,5
Value for money,5
"Bestest product, even my neighbors decided to purchase this over Sony Bravia",5
Great TV at great price,5
Go for it!,5
Best TV with amazing PQ and Audio,5
Best tv you'll find at this price ...... Tough competition to the biggies,5
"Happy to the Infinity, best machine for less money!",5
Superb value for money punch to industry incumbents,5
One Word Amazing,5
Never expected This Much Quality Product from Amazon,5
"Great Clarity, Value for money and like to watch on it.",5
PRIME is the only APP buffering,5
The most value for money product I have ever purchased,5
"Awesome everything, BUT...",5
Best tv at the price,5
Nice User Experience,5
budget Tv at par with build quality and standard,5
Best quality in this price range.,5
Look no further budget tv with trustable after sales service.,5
The best in the segment,5
Best TV go for it without second thought,5
Awesome tv great price,5
Amazing TV,5
Value for money !!,5
Set expectations right,5
My kids loving it,5
"It's not basic, but the very definition of basic. It's a tv.",5
Wonderful TV for this price.,5
"But TV with confidence , unmatched 4k Led Tv",5
Great buy,5
Worst TV service,5
Buy it now. Awesome product,5
Best budget 4K UHD led tv,5
Buy during deal and get a soundbar or home theatre system,5
Excellent Product,5
Very good TV. Real value for money spent,5
It is a very good tv with outstanding features.,5
Value for money,5
Super value for money,5
Fantastic and Value for money,5
A very good 4k smart tv at a cool price,5
Superb Tv,5
Amazing is the Word...Thanks Amazon for Such a Great Product,5
Go for it,5
Picture quality 🔥. A steal for a 4k TV.,5
Worth every penny,5
Great value for money - high quality product,5
Fire tv os is worlds no 1 os for smart tv's,5
Superb Product,5
Don't think much just go for it!,5
Smooth and faster experience,5
Best ever tv really,5
Amazing product from Amazon!!!,5
multifacet TV,5
"Great product , worth to get this",5
I recommend this budget tv,5
Absolute banger product,5
Good TV for this price range,5
Nice product in fair price,5
Great quality at the price point,5
Excellent service.,5
An extremely good product,5
Value for Money!,5
Best tv.,5
Nice tv in this budget.,5
best in this budget,5
The best product,5
True value for money,5
Great Tv,5
Value for money,5
Worth the Price,5
Great 50 inch TV for aggressive price,5
Value for money,5
Love it,5
Good service & value for money.,5
Excellent..Superb,5
"Picture Quality and Size is great, but sound is not able to hear properly. Poor Sound Quality.",5
Value Product,5
Hands down best TV available in India with these features at this price,5
"Awesome TV , thank u Amazon for getting this lovely product for such a reasonable price",5
Great Product for a reasonable price,5
धासू प्रोडक्ट इस प्राइस में,5
Working fine,5
Excellent TV,5
Most value for money 4k tv,5
exellent picture quality,5
Good quality,5
One of the best tv at this price segment,5
"Alexa is in your 🧤""remote😊",5
A good buy,5
"amazonbasics TV 43 inch4K.2,day review",5
Value for money,5
Good product but unable to connect sound system😒😒😒,5
Amazing,5
"Excellent customer service , built in fire tv is highly responsive",5
Best pick among budget 4K TVs,5
Fantastic led tv,5
It's a beauty. Good picture reproduction. BUT NO REGULAR AUDIO OUT JACK,5
Love it,5
Awesome experience,5
Awesome 4k picture quality and value for money,5
Value for money,5
My 7yr old grandson likes it more than their 1.25 lakh SONY TV.,5
Tops in Best-in-Class segment,5
Have a good experience with the product and the technician was so humble with us.,5
NICE Product,5
Remote,5
Amazing product,5
Good picture quality,5
An excellent product from Amazon.,5
Worth the money!!,5
Excellent product !,5
It’s an amazing tv,5
Great tv to buy.. just go for it,5
Good Product for the Price,5
Awesome product,5
Worth it!,5
Its good deal in this price range,5
Bang for buck,5
Great buy,5
Good startup in TV from Amazon,5
The best TV out there,5
Awesome,5
Nice tv,5
