comments,rating
Superb product from philips!!!,5
Phillips quality as trusted,5
Perfect fit and sound quality,5
my last philips 600 rs earphones sounds far better than this bluetooth. worst buy ever from philips,5
Value for Money,5
Excellent product for Executives.,5
Wonderful,5
Ok for the price,5
For the price range quality is good,5
Superb but noise not good,5
sound quality awesome n noise cancellation good,5
Good product works well,5
nice earbuds,5
Calls comparable to AirPods original quality,5
I got it at very best price.,5
One left ear pad is not back up...it's not charged...it's not work...,5
Ear buds Bluetooth damaged,5
Wow product ....,5
Grrt Products,5
Worth price paid for,5
Good,5
Good fit to the ear,5
Nice one,5
Paisa washul best sound,5
Nice one,5
On call noisy to other side person,5
Quality,5
Good for calling in silent area.,5
Phillips always known for quality,5
Good,5
Go for it,5
Good to go,5
Cool ear pods,5
Value for money,5
Earpods,5
Philips airbuds,5
Nice,5
Its good voice clearance good not bad on this range,5
Nice one value for money,5
Very good quality.,5
"Amazing product, nice quality, value for money 💰",5
"It's a awesome product, Go for it...",5
Phillips @ true wireless experience,5
Excellent earphones,5
Good.. from this Price...,5
Very nice,5
Great,5
Ntg much,5
Nice and with it,5
Ok,5
One damage,5
"Over quality, sound, connectivity etc all are good",5
Sound clarity amazing,5
Great product,5
kharab hai kharab hai,5
"Amazon Best seller, quality is excellent.",5
All is very well but Earbud size is big,5
Nice Product,5
Mast hai,5
Smart Bluetooth device,5
great product,5
क्वालिटी,5
Best sound quality,5
WIRELESS,5
Good,5
Fine,5
10 miter range,5
Ok,5
Fast looking is better ab dekhte use Kar ke kesa h,5
Good,5
Nice 👍🏻 earphone,5
Sound quality,5
Good,5
This product is good and best quality,5
Good,5
Worth buying,5
"Ear Fitting, Sound Quality",5
Headset,5
"Trust me, go for this.",5
Wonderful product,5
"This is reality Good product,,sound quality very nice and very comfortable,, must buy this product",5
nice one. Worth buying,5
Superb Sound Quality,5
Review after 1 day of continue use.,5
Worth every penny spent!,5
Overall nice product,5
Best Indian Earphones Ever!,5
Exceeded expectation.,5
Not working well on iphone 7 😒(Updated),5
Go for it....,5
Great product consider it on your list,5
Amazing product - Surprise package,5
Good one,5
Great value for money,5
Product is worth the price...go for it,5
Bass boosted Sound Quality. (May be Vary according to Smartphone's Bluetooth comparability),5
Good Quality headphones,5
Excellent buy! Go for it!!,5
"No words to express,Read below for more Information",5
Best under price range (1200/-).,5
Technical future needed,5
Amazing device. Battery is the highlight of this product.,5
Average,5
Awesome product..,5
"Using it since 4 months, works just like new.",5
Good expectation,5
Cheap and Best only I can say,5
Best for office calls,5
A good Bluetooth neckband at affordable price,5
Just perfect...Worth it !,5
Definately a go if you are looking for a budget BT phone for daily use.,5
Excellent earphones,5
Very good product specially for call,5
Has a nice natural sound signature so a bit lacking in terms of bass,5
"Good product, very much satisfied",5
Fantabulous Product - Simply Go For It Blindly,5
Simply Awesome!!!,5
"Awesome sound quality, very worth the money!!",5
Tune active plus is just the thing I need !!,5
Best product in reasonable price,5
Average Product.,5
One of the quality product recommend to purchase ..,5
Just go for it.. If you are a regular and Medium type of User.,5
"Value for Money, After Purchase services are amazing as well.",5
The mood boosters,5
Manufacturing quality,5
Battery BAckup is too good,5
Best quality product,5
No vibration mode in bluetooth,5
If you want good sound and bass quality. This is perfect.,5
AWESOME PRODUCT !,5
I want to give 4.5rating,5
Best ear band at this price range,5
Happy & Satisfied,5
Noise wirless headphones,5
Its just awesome.,5
A must purchase!,5
Hands down the best budget neck band earphones,5
Anytime choice over boat headsets.,5
Good deal,5
Sound = best : Mic = Worst,5
Nice product.,5
Good in the price range,5
Super,5
worth of mony excellant product,5
Just go for it.....,5
Good quality with afforadable price.,5
