comments,rating
## OVERALL PERFECT PHONE 📱📱,5
Worth of money,5
Nice Mobile with some constraints,5
"Feels like butter, great for everyone except hard-core gamers. Great overall experience offered.",5
Best Branded Phone under 17k,5
Value for money,5
samsung galaxy f32,5
Its fantastic mobile for an average user like me and Its having automatic call recorder.,5
Kudos to Samsung for this launch Galaxy M32,5
Premium phone. Processor not capable for 90Hz.,5
Perfect Phone🤩,5
In this range no other phone can beat it,5
Excellent Mobile phone,5
Definately its a camera centric smartphone,5
Very good mobile,5
Very good phone for professional use,5
Awesome Phone .... strongly recommended 👍,5
Signal reception is solid.,5
A very good product buying on festival season in Amazon.,5
Value Purchase,5
Nice smartphone for casual user,5
The young man with the old Heart👌..,5
Good phone for normal use,5
A good branded mobile within budget,5
"Good display, good camera and a good battery life",5
The 5 Star Phone in 12k,5
Killer in Segment 💪👍,5
Nice phone but little slow,5
Good Value for Money Device,5
Awesome display and battery with decent camera set up,5
Best budget phone.,5
Flawless. No regret buying it over MI.,5
Good phone if you are not a heavy user,5
Best phone under 20k,5
Great non Chinese value option,5
Value for money,5
Screen quality is awesome,5
Value for money mobile,5
"Fast,smooth,reliable,durable,beautiful and worth d price❤️😍😍",5
Old Wine with new branding...,5
"Out Standing phone go for it, Far better than any chinese phone in this price range",5
Recommended for casual and media consumption users. It's very good for the price,5
King display and a monster in battery,5
Gorgeous Display,5
Balanced Phone,5
Body and display matches the premium phones,5
Allrounder,5
Truly Samsung midranger,5
A good phone don't go for the fake reviews,5
Really solid phone for the price,5
Very Good product,5
Amazing phone by far... the back is beautiful and mesmerizing.,5
Fine,5
Best Companion,5
Not worth the 17k price but its an absolute powerhouse,5
Just go for it. Will get best quality of mobile,5
Terrific purchase,5
This phone is just awesome at this aggressive price range it destroys the competition,5
Best performance,5
Mind blowing,5
Super Excellent,5
Best phone under 15k,5
Very good product at this price range!,5
Love the product,5
All Rounder.....,5
Perfect phone,5
Made in India - A decent phone.,5
Samsung.. at its very best as most of the times,5
Overall good.,5
Perfect phone from Samsung best mobile you can feel the smooth ness,5
Value for money,5
Excellent phone....,5
Nice Mobile,5
Best in Non - Chinese phone segment,5
Best phone at this price,5
Loved it!,5
Super,5
Excellent Product,5
Charger is too slow rest a good buy,5
Awesome device. Go for it.,5
Best value for money and premium features best budget phone,5
Best in MidRange,5
Good Phone,5
Lovin it,5
Better than Expectations I wll strongly suggest to you,5
Fantastic,5
"Bought it for 8k, best in segment",5
Decent mid range phone,5
Good to Go in 12k price,5
Software is as important as hardware and samsung has it.,5
Great phone,5
Nice phone,5
Superb product,5
Best phone at Rs 12499,5
आपके द्वारा प्रदान किया गया फोन हमें बहुत अच्छा लगा बस इसमें एक ही चीज की कमी थी,5
Super Value For Money at 12k,5
Samsung at its best.,5
Best in this budget by Samsung between their other models,5
Really a bing monster SMOOTH EXPERIENCE AND SUPER DISPLAY,5
Aweome phone under 15k,5
REAL ABOUT THIS PHONE,5
Good budget phone,5
Just worth every penny u buy it for.,5
Good value for money,5
Awesome battery 6k,5
Side mounted finger print is little tricky sometimes,5
camera and display,5
Good Gadget.,5
No 1 samsung brand,5
A true gem in this segment,5
Whole operation done honestly.,5
Amazing at this segment,5
Better overall Best Phone under Rs 12499,5
Exellent Stable Phone,5
Value for money device,5
Best phone as always,5
Not budget friendly but if you want smartphone with great display and multimedia consumption.,5
Best phone for moderate user,5
Value for money,5
Review after using for 10 days.,5
Good,5
Way way worth of your money,5
Decent camera for the price but low light performance average,5
Best value at 13000 price for daily usage,5
Best value for money phone.,5
The phone is a gentle giant.,5
Pretty awesome for a budget smartphone,5
Purchased Samsung M32 (6GB/128GB) in Rs 15749.,5
I bought it for 11999/- on sale. Best Samsung mobile in its range. NOT RECOMMENDED FOR HEAVY GAMERS.,5
Display is over the top 👌,5
Probably the best phone under 12k Segment,5
Delivery boy asking tips for delivery ₹100,5
Good phone,5
Must buy,5
India mei koye accha phone hai woh hai ONLY SAMSUNG NO.1 TOP QUALITY,5
The highlight of this phone is it’s display..,5
Awesome phone for minimal use and better display,5
Powerful phone with process and battrey,5
Good one to buy,5
90hz refresh,5
Best phone 🤳,5
Phone with good quality and features.,5
Really awsome phone.. display is amazing..,5
Super Value for Money,5
Value for money,5
Good smartphone,5
BEST IN THE RANGE BEST,5
Happy with this phone..,5
"Sleek, Premium finish",5
Overall experience,5
Amazing and value for money,5
Worth it,5
Looks similar to M30,5
"Flagship level Display, nice camera and well priced",5
Very goood phone,5
Review after one month use,5
Superb phone of the year,5
Nice Handy Phone,5
Just go for it,5
Perfect one at this price range,5
Its amazing. Please go for it.,5
Best phone with this budget,5
The Best,5
Value for money and delightful.,5
Best samsung mobile..,5
Worth for the money paid,5
Want Samsung Phone? Purchase This One,5
Value for money,5
Best in class,5
Value for money buy @ 17k,5
Amazing display,5
Best Display and camera and premium looks,5
Maine blowing purchase,5
Best & Fast Service,5
Timely delivery and good budget phone,5
Camera that excels it's predecessors,5
Best Brand & Real Monster Smartphone,5
6.4 looks smaller than 6.5,5
Great Battery Backup and Beautiful Screen,5
Great phone for budget oriented people,5
superb CAMERA.. ALL IN ONE...,5
Awesome,5
Super phone,5
Go for it....,5
Good purchase,5
"Doing Great,",5
"Nice product ,thanks for this amzone",5
Outstanding,5
One of the best under 15k you won regret it...just go go,5
"Good battery life, great camera, best in budget",5
Too many advertising,5
Overall A good Smartphone From Samsung,5
Good Battery link and Smooth to touch,5
Value For Money.,5
Value for money!,5
Love it,5
Good phone,5
Value for money,5
"accelerometer, gyro, compass sensors and brilliant featured smartphonr",5
Great buy,5
Great phone,5
Balanced phone,5
Such an handy and useful phone,5
Value for money,5
Best in the budget phones!,5
Excellent product.,5
"Good Product, All in One Smartphone",5
Good camera quality and sound system. Finger print reader,5
Happy with the product,5
True value for money,5
The product is overall good...but fingerprint sensor is an issue of concern and notch is old school,5
Great camera and fingerprint reader,5
Best Display clarity,5
Best device below 10k range,5
Phone clarity,5
Very good mobile,5
Superb samsung product ...quality assured with good battery life,5
Best phone,5
Best in budget,5
Best 5g smartphone,5
Awesome product,5
Worth of money,5
Amazing 🤣,5
"Good phone, good deal with this seller.",5
Best mobile,5
Received the package in good condition.,5
Satisfied,5
Very good phone in the range price,5
This is what I was looking for..,5
Nice camera quality and battery life,5
Excellent,5
Wonderful phone,5
Good product at it's price,5
Good phone,5
Awesome,5
"Super phone, good operating performance",5
For those who need returns of his penny,5
Best budget phone. Under 15k,5
Great phone at under 11k,5
Mobile is satisfied expectations.,5
Made in India phone with a more than expected quality display and an amazing battery life.,5
Good Phone,5
Overall good phone in mid-range,5
