comments,rating
Best product with best price,5
A power Bank you should try on!,5
Super value,5
Good Buy🤩,5
Powerbank that powers your confidence to go anywhere!,5
SOO SOOO GOOD POWER BANK I HAVE EVER SEEN!!!!,5
Eye Candy PowerBank,5
Amazing Powerbank,5
Awesome product,5
Loved it!,5
Pretty close to the rated effective capacity,5
power bank is very good better than MI power banks,5
Love this charger..!!,5
amazing 🔋and long lasting,5
Good Deal with affordable price,5
"Value for money, compact & neat",5
Great Design & Colour combo,5
BEST POWERBANK REALLY HAPPY WITH THE PRODUCT,5
Compact and neat,5
Stay charged !!,5
Superb Power Bank,5
Compact,5
Good product 👍,5
Amazing Power Bank 👌👌🤩,5
Tiny cute yet powerful battery bank,5
A COMPACT BEAST IN A GRIP OF HAND,5
Best product with best price,5
"small size , pocket friendly , value for our money",5
The best stylish and compact power bank,5
Liked it....,5
Unique design coupled with a powerful battery is a *win*,5
Loved it,5
Light weight and best buy for travellers.,5
Very good power bank and small as well,5
Brilliant power bank,5
"VALUE FOR MONEY, EXCELLENT PRODUCT",5
The Best!!!,5
100 marks,5
"It's very compact in size, the quality is good, the charging speed is really great",5
Thes Bestest Power Bank!,5
"Easy To Carry, Best for Travelling !!",5
YOU MADE IT FOR US...THE SOLDIER. GOD BLESS YOU FOR YOUR SPIRIT.,5
Power on your pocket,5
Precise! Exactly want I wanted😀❤️,5
Charges my phone twice,5
Worth it,5
"Sturdy build,no overheating and backup is also very good!",5
"Very stylish, compact and good power source.",5
Value for Money,5
Compact powerbank,5
INDEED A Pocket Friendly Power Bank- Literally and Figuratively,5
Power of bank is defined by URBN powerbank.,5
Good Looking and Great Performance,5
Compact and effective,5
Compact Size,5
Best power bank,5
Awesome size and reasonable price,5
Compact will not fit in pocket but in bag,5
Awesome product,5
Excellent product!!!,5
Must to have,5
Handy Powerbank,5
Good product,5
Satisfied,5
Easy to carry best for traveling,5
Amazing product and worth the buy,5
Overall good experience with this amazing looking powerbank this was my first powerbank,5
Small and good for travelers,5
Good Battery Backup and Compact Design.,5
Amazing compact powerbank!,5
Quality of the power bank,5
Feels good,5
Good reliable Powerbank. Love it,5
Pocket friendly 10000 mAh Powerbank,5
Extremely Great Product!,5
Such a Powerful but Small in Size Better than others I have...,5
Compact and Attractive,5
Sleek and beautiful,5
The best Powerbank..!!🔥,5
Excellent power bank!!,5
Good product,5
Awesome product with Awesome Support,5
Best li polymer battery powerbank,5
the compact!,5
Good products for urbn power.,5
A must buy product for travelers,5
Good quality product n value for money,5
URBN Powerbank Is loved for traveling,5
Good product,5
Excellent product ...👍,5
just wow,5
Robust build... dependable..does it's job quietly..,5
Value of money,5
Recommended,5
Amazed with the size and charging speed,5
Bang for the Bucks!,5
Very useful and good quality,5
One of the best,5
So much excellent power bank,5
Very nice PowerBank,5
Small is big,5
Good Product To Buy,5
Vipul k patel,5
Very compact and light for travel and worth for Rs.499,5
Superb power bank,5
Perfect Pocket Battery,5
"Chota packet BADA dhaamaka...,,🌟🌟🌟🌟🌟",5
"Absolutely Cute, Functional and Rugged",5
It’s small and works very well.,5
Simply superb in performance and appearance,5
cool,5
mast Hai pavar bank kelo esse acha koe nahi compet size trevel ke liye sabase betar,5
Good Choice,5
Best in range,5
Cute power bank,5
Almost good but slow charging,5
Excellent customer service,5
Great pocket friendly charger,5
"Sturdy, stylish, serves the purpose perfectly.",5
✅,5
BATTERY QUALITY,5
Efficient and stylish power bank,5
Just go for it !,5
Super compact and amazing rubber finish.,5
Wow product made in india,5
Small meanie!,5
Allover superb product...,5
Super Performance,5
For traveling its good to have,5
"Bang for the buck, excellent",5
~MĀDĒ IN INDIA~ EXCELLENT,5
Excellent Power backup,5
Urbn Rocks!!,5
Value for money,5
Not durable product,5
Compact Power Mill,5
URBN 20000mAh powerbank is packed for travel use,5
Very good powerbank,5
Value for money deal,5
Really good for this price!,5
Great product yet.,5
Fast charging,5
You can buy if you have sufficient time for charging,5
King of Power Bank,5
Top priority while travelling,5
Cute with one year replacement warranty,5
Go for it without a second thought...,5
Urban 10k Powebank is awesome,5
"Great price, durable and handy",5
Compact and Awesome Material Quality,5
Very Useful while Travelling,5
Compact Power Bank,5
Good,5
Looks the same,5
Must have Product !,5
Compatible power bank,5
Superbly awesome,5
best and heavy-duty product. must over those having smartphones,5
Perfect Power Bank !!,5
Value for money,5
Small and usefull!,5
Value for money Power bank with powerful performance,5
Value for money,5
Perfect,5
Very comfortable,5
How’s the josh!! High sir💪🏻. Thank You URBN👍🏻,5
Easy to carry,5
Value for money,5
Good buy.,5
Very company and good holding charge must buy.,5
Good Product.,5
beautiful product to use,5
Super Easy to Handle,5
Nice product👌,5
Small but Powerfull,5
Long charge and amazing capacity,5
Outstanding and Durable,5
Excellent powerbank for the one on the move,5
Heavy duty powerbank,5
Back front power,5
Satisfied with the product,5
Best and Compact Power Bank,5
very nice product.,5
Compact and light weight compared to others!,5
Good finish and nice looks,5
Must buy,5
nice product,5
Very good,5
Awesome product..go india🇮🇳,5
Light weight and longer duration,5
Convenient size,5
Best powerbank,5
Awesome,5
Value for money,5
Powerful yet compact,5
Finally a good made in India product.,5
Amazing. Better than MI Syska and others brands.,5
Fast charging and good build quality,5
Made in India- nice product,5
Good performance,5
Best product with best price.,5
Portable and Powerful.,5
Satisfied,5
Worth buying,5
Superb product....,5
Good quality product,5
Excellent product,5
Amazing battery life. Very satisfying.,5
Must have. compact and Stylish.,5
Small and colour looks amazing,5
Great Product,5
Urbn powerbank nice product,5
Pocket friendly,5
Good power,5
I like it,5
Value for Money. Good results,5
Great,5
good product,5
Light Weight,5
Good quality and amazing product❤❤❤❤ 😍😍,5
Exllent power bank material,5
Travel compatible,5
A Nice & Beautiful powerbank.,5
Best product with best price,5
Pocket friendly power bank,5
