comments,rating
Best features and looks in the business,5
Nice and value for money..,5
Good deal at the price point,5
Best Product,5
Product quality,5
Good product,5
Great Product...Value for Money!!,5
Best for your Money,5
Good product.,5
An excellent smart watch,5
Purpose not solved,5
Perfect Smartwatch,5
Great,5
Detailed review after seven days of use. Choose wisely,5
Fire Bolt Smart health watch,5
Very professional looking watch,5
Awesome product with amazing features at lowest price,5
a nice purchase,5
Excellent at this price range,5
Good watch.,5
Excellent Product,5
Good,5
Watch that looks good and has reliable health features,5
Pretty good watch...,5
Worth more than the money I paid.,5
The best budget sports tracker,5
Don't buy this watch,5
"Smart watch look rich, But accuracy of steps are is poor",5
"Good product, decent post sales support.",5
A nice and value for money smartwatch with best features - highly recommended,5
Power pack smartwatch.. Must buy!!,5
Excellent watch in range rupees 3000,5
View & Monitor health with a touch,5
Great and recommended,5
The actual screen is small than dial frame.,5
Good watch under 3k,5
"Nice watch, but not happy",5
Extremely useful smart watch for active persons,5
"A best ragular day to day Smartwatch, Happy to purchase the amazing smartwatch.",5
Fire-Boltt Smart Watch: Good Watch with Extra Features,5
"Worth every penny, must Buy !!!",5
"To know what's make it worth,spare time to read below.",5
Ok But not the best at all,5
Worth every penny!,5
Overall Satisfactory,5
Awesome device,5
Handy on the hand!,5
Fire Boltt Supreme: Excellent for the price,5
Awesome ! Exactly what you would demand in this price range.,5
a good product under 3k,5
A Good choice if you are looking for some health feature,5
Experince about fire boltt,5
Awesome n a must buy product,5
Value for money smartwatch.,5
"Good quality...Accurate Bp,Hp,O2",5
Nice Smart Product,5
Worth for money,5
Budget smart watch,5
Awesome smart watch,5
Best watch with maximum features in the price segment,5
Best smart watch with I'm budget,5
An Important tool to help u reduce weight n maintain healthy lifestyle,5
Brilliant watch under 3k,5
"Very good product, worth for money",5
Super- Amazing,5
TOY WATCH . WAST OF MONEY,5
Best Ever Product !!!,5
......✌️Excellent Smartwatch✌️,5
Nice smart watch,5
It's good,5
Lot's of features in one powerpack watch,5
Good watch with lots of feature.,5
Extremely happy with the features and build quality,5
Want to know about operation of device immediately,5
Great buy!,5
Excellent product,5
Nice smart watch for my little one,5
Excellent product.,5
Attractive option for the price.,5
Product is 10/10 in the market at such a reasonable price,5
Good looking one,5
Neutral product,5
Good features and great pricing,5
Good watch,5
Worth the price the amount of features provided,5
Good product!,5
Good one.. After using a months I m posting my review.,5
I know that this watch was fully tech screen,5
VALUE FOR MONEY,5
Wow Product at this Price,5
I liked the product.,5
Multiple features in this amazing watch,5
Easy to use and value for money.,5
Great Purchase,5
A nice well rounded product at a reasonable price.,5
loved it! Go for it!,5
Good buy,5
"All readings are misguiding. As father has expired, I couldn't return , have to suffer loss now.",5
Wonderful watch,5
A must have watch.......Value for money,5
value for money . Great watch,5
Very good product.,5
Special for Smart Watch,5
Nice product,5
Awesome product for the Price!,5
Value product for Money.,5
Look very smart,5
VALUE FOR MONEY,5
Stars for Customer support.,5
Best smartphone,5
"Excellent in quality, Great in feature what it has. Nice product under this amount",5
Fabulous product at this price,5
Nice and accurate,5
I like this watch alot.,5
Good product..,5
Easy to use and it's very helpful for fitness grt looks..,5
Good product at this price range,5
Great screen with accurate sleep and HR monitoring,5
Very good product in the budget of ₹3000,5
Fire Boltt Supreme...Great Product!!,5
Great Product,5
Price Worth it.,5
Boltt Supreme is an excellent watch,5
Looks great . Works nicely. Would definitely recommend.end,5
Good for the budget,5
Perfect!,5
Value for money.,5
gud buy,5
Worthy if in need of the features,5
Excellent Product,5
"Product is good, but very bad customer service",5
A good product at an affordable price,5
A true value of money,5
Great looking watch,5
Suprb smart watch,5
Good product and worth for this money,5
Best Smart Watch in good Price,5
Better product,5
Awesome purchase at reasonable price,5
Its a worth buy product with all the facilities in it....,5
Worth Buying coz it's awesome,5
"Good product, does the job well",5
Lovely product. Value for money.,5
"SPO2 function, Measures heartbeat & Calculates Blood Pressure. Manage Calls,",5
Good quality with metal body and fexible bands,5
Over alll good experience,5
Worth the price n accurate too,5
Iphone and android support,5
The Best your pocket can get,5
Good smartwatch in this price range !!,5
The watch is not work please return this product,5
Cool device.,5
Value for money,5
Awesome Product,5
Budget health tracker,5
Call Notification.. Budget 2.5k watch.. Keep it Up FIREBOLTT.. bluetooth calling also requires..,5
Awesome product at this range,5
Good and Quality product,5
A great Value for money watch,5
NOT WORKING.,5
Good product and sleak design,5
A lovely and perfect gift to my wife,5
Good watch,5
Health with comfort,5
The features are the best. I which i need the most.,5
So far satisfied with product..,5
Super,5
Happy customer of the watch,5
They must provide u the user manual,5
Amazon customer,5
Good product,5
An Awesome Smart watch 🙂,5
Early Review,5
smart way to keep you fit,5
Best watch in 3000,5
The given watch is really good . All the given details are working perfectly.,5
Good designed,5
"Awesome faces, Easy downloading faces",5
Best watch in affordable range.,5
Satisfying...,5
Awesome touch experience with good battery life.,5
Super,5
If this watch had given body temperature more then what was the other best?,5
VFM product,5
"""Perfect Gift For a Dad!",5
Very Nice Watch,5
good quality and easy to use,5
Awesome watch,5
Good product,5
"Affordable, working super still not having any issues",5
The features installed in the watch are awesome,5
Nice Product & Features,5
Amazing watch,5
"Worth every penny, very much affordable.",5
Good product.,5
Excellent product in 3k price range,5
The product that you can trust,5
Best watch I have ever seen,5
It's perfect product for monitoring health.,5
Excellent n awesome smart watch,5
"Good ,paise wasool",5
Pretty good watch,5
All in one that's fire bolt smart watch,5
I m loving it,5
First day review,5
Superb Watch,5
Pretty useful and value for your maney,5
Recommended for All,5
5Star,5
Good product as per my expectations,5
After a month of usage,5
Value for money,5
Good,5
A must buy product,5
Best Quality Featured product in this price.. 👍,5
Working,5
The accuracy of the device.,5
Elegant,5
Smart buy,5
Good value for money!,5
Fire bolt spo2 1.4inch,5
Worth the purchase.,5
Good product !!,5
Best Product for best Price,5
Must have product,5
Awesome watch,5
Superior looks and quality,5
Go for Firebolt,5
Affordable one. With average features.,5
Awesome product,5
Loved it,5
Must have,5
Product is not good one month after purchasing watch battery is not working.,5
Value for money,5
Nice product,5
Good,5
Must buy product.,5
Awesome Smart Watch,5
Almost a perfect smartwatch,5
Fast and very smooth,5
Wonderful Product,5
Watch good features and other,5
I think Bp tracking might be little incorrect according to me neway 👍,5
Very good all the features working good,5
"Budget smart watch with great features, surely a must buy product",5
Good Value for Money,5
Need Fullfilled,5
Good Build 👍👍,5
Very stylish !!! Worth to try.,5
Great watch for the price,5
Go for it.. highly appreciated,5
I loved this smart watch I gifted to my brothers they loved it.,5
Best one,5
One is the best products,5
Nice,5
Health monitoring becomes very easy,5
The product has good built quality,5
AMAZING,5
Easy to Use,5
Best in the price !!!,5
Its touch sensitivity,5
Super Product. Worthy Purchase,5
View and easy to use,5
Smart watch,5
"Handy product, worth the cost",5
FABULOUS & FANTASTIC,5
Value for Money,5
"Mobile App is good, touch screen sometimes act weird. Overall happy with the watch.",5
Very good product feel,5
Amazing product..,5
Oh it's amazing,5
nice watch,5
Worst service,5
Value for money.,5
Perfect deal at a affordable price,5
Nice watch and looks beautiful when wearing,5
Watch has many features and is very affordable. Worth the price,5
Better watch,5
Superb watch,5
Value for money,5
Budget friendly smart watch,5
Value for price,5
"No problems,Can buy it without any worries.",5
Good one. Go for it.,5
Very good product,5
Screen touch is awesome & budget watch,5
Footstep is count very fast,5
Loved it,5
Bright Display,5
Excited to own,5
Awesome,5
A very good watch,5
Best Smart watch with O2 monitoring,5
Too good to be true,5
EXCELLENT,5
Amazing product..,5
Good product but expect more from this range,5
Aligent watch. Worth or it's price.,5
Can buy in the offered price,5
Looks awesome. All in one smart watch.,5
Totally loved it,5
Liking what I see,5
TOP NOTCH QUALITY,5
Go for it,5
Great Gift,5
Excellent value for money,5
Highly satisfied,5
FIRE BOLTT- BSW001,5
Smart watch is smart,5
Worth for the deal price,5
Good buy in a grt price,5
Excellent smart watch!,5
Nice looking and easy to operate,5
Very Good,5
Very nice product,5
Amazing Tool,5
Value for money,5
Amazing Smartwatch..must for beginners..A value for money product..,5
Good battery life,5
The features are doing fine amazing battery life,5
User Review,5
Superb,5
Excellent product at this price range.,5
Exactly like expected,5
Excellent product for a gift.,5
Good Battery Life,5
Overall a good product,5
Elegant and Smart Fire BolTT,5
Multi health reading smart watch,5
IM NOT ABLE TO CONNECT MY WATCH WITH MOBILE,5
Must go for it.....,5
Loved it,5
My smart watch is not working .,5
Impressive battery back up 👍,5
Good Buy for under 3K,5
Good product,5
Best product under this price,5
The best budget friendly smartwatch!!!,5
Very good watch got it now n very much happy with that the colour is also accepted 🙂,5
Nice product,5
Excellent Watch,5
User friendly. Gives the result very helpful.,5
Not opening,5
Amazing,5
2 weeks ON and works like a charm!,5
I m loving it.,5
Look is great,5
Activity tracker,5
"Value for money, premium product",5
Worth the purchase,5
Good buy,5
Excellent,5
Velue For The Money,5
Can go for it,5
Excellent product with this price range..,5
I guess this watch is best in it’s class,5
Best from rest,5
Value for money!,5
Very Delicate To Handle,5
Best smartwatch,5
Worth the rate,5
Check,5
Add Style,5
Value for money,5
Overall great product and value for money,5
Nice,5
Excellent product,5
Fire-boltt spO2 is creative for quality of life,5
EXCELLENT PURCHASE,5
Good,5
Worth to buy,5
Very good product,5
Beautiful watch...I like it,5
Good but needs more features,5
Accuracy and convenient,5
Value for money,5
Good to go,5
Look n accuracy,5
Product review,5
Awesome,5
Result accuracy of d product,5
It is really smart. Thatswhy it is smart watch.,5
Perfect,5
Fire on Rs3000,5
"Cool smart watch. There are many features like sleep tracking, health, fitness tracking, weather etc",5
Lookwise it is a pemium product,5
Amazing!,5
EXCELLENT,5
Worth the price!,5
Well very nice,5
Value for money....,5
Good for old people.,5
Excellent product for the price!,5
A must have product for fitness freaks. Please add thermometer in the functions,5
"Used for one month , looks amazing, fire boltt looks premium, thanks",5
Nice 👍,5
SLEEP TRACKING IS NOT WORKING,5
Funtastic Smart Watch,5
Worth for the price!,5
I will give 5 rating overall,5
In luv with 🔥bolt. 🥰,5
Smart watch review,5
All in one,5
Very good,5
Brightness is not good,5
Stylish and affordable,5
A true value Indian Smartwatch,5
Nice & value for money.,5
Good product,5
"Received as ordered, brand new",5
